Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Purchase History,Seasonality,Preparation Method,Geographical Location,Pricing,Wastage Food Amount
Fruits,300.0,Birthday,450.0,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,25.0
Meat,220.0,Social Gathering,300.0,Room Temperature,Regular,Winter,Buffet,Suburban,Low,10.0
Meat,220.0,Corporate,450.0,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,30.0
Vegetables,220.0,Corporate,300.0,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,15.0
Meat,350.0,Corporate,450.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35.0
Fruits,,Wedding,500.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,
Meat,320.0,Wedding,,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,25.0
Fruits,400.0,Wedding,500.0,Refrigerated,Regular,All Seasons,Finger Food,Urban,High,40.0
Baked Goods,320.0,Corporate,400.0,Room Temperature,Regular,Summer,Buffet,Rural,High,35.0
Meat,400.0, Birthday ,500.0,Room Temperature,Regular,Winter,Finger Food,Suburban,High,40.0
Meat,208.0,Wedding,282.0,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,Moderate,22.0
Meat,,BIRTHDAY,350.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,20.0
Meat,380.0,Corporate,400.0,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,25.0
Meat,438.0,Corporate,493.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,35.0
Fruits,350.0,Corporate,450.0,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,20.0
Meat,220.0,Corporate,300.0,refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,15.0
Fruits,220.0, Corporate ,300.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,
Vegetables,280.0,Social Gathering,350.0,Room Temperature,Regular,Summer,Buffet,Urban,Low,20.0
MEAT,220.0,Corporate,300.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15.0
Fruits,491.0,Wedding,497.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,32.0
Fruits,400.0,Birthday,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,50.0
 Meat ,250.0,Birthday,350.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,20.0
Meat,300.0,Corporate,400.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,
Dairy Products,439.0,Corporate,459.0,Room Temperature,Regular,Summer,Buffet,Suburban,Low,39.0
Fruits,240.0,Corporate,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,20.0
Baked Goods,300.0,Birthday,400.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Low,20.0
Fruits,280.0,Corporate,350.0,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,20.0
Fruits,350.0,Wedding,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40.0
Meat,400.0,Social Gathering,450.0,Refrigerated,Regular,All Seasons,Buffet,Urban,Moderate,30.0
Fruits,434.0,BIRTHDAY,495.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,36.0
Fruits,300.0,Corporate,400.0,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,15.0
Fruits,290.0,Social Gathering,374.0,Room Temperature,Regular,Winter,Finger Food,Urban,Low,27.0
Dairy Products,300.0,Birthday,400.0,Room Temperature,Regular,Winter,Finger Food,Urban,Low,20.0
Meat,320.0,Social Gathering,400.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,40.0
Baked Goods,320.0,Birthday,400.0,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,20.0
Meat,400.0,Social Gathering,500.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,45.0
Vegetables,280.0,Birthday,350.0,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,20.0
Baked Goods,380.0,Corporate,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,35.0
Meat,380.0,Birthday,480.0,Refrigerated,Regular,Summer,Buffet,Suburban,Moderate,30.0
Meat,400.0,Wedding,500.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,50.0
Meat,320.0,Birthday,400.0,Refrigerated,Regular,All Seasons,Buffet,Suburban,High,30.0
Vegetables,280.0,Wedding,350.0,Refrigerated,Regular,Winter,Finger Food,Urban,Low,15.0
Vegetables,320.0,birthday,1130.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,40.0
Fruits,250.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,10.0
Vegetables,350.0,Corporate,450.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
Meat,250.0,Wedding,350.0,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,High,40.0
Vegetables,280.0,Corporate,350.0,Refrigerated,Occasional,Summer,Finger Food,Urban,Moderate,20.0
Baked Goods,,Birthday,500.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,30.0
Dairy Products,250.0,Social Gathering,350.0,Room Temperature,Regular,Summer,Buffet,Urban,Low,10.0
Fruits,230.0,Wedding,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,30.0
Baked Goods,320.0,Birthday,400.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25.0
Baked Goods,442.0,Wedding,482.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,32.0
Baked Goods,,BIRTHDAY,,Room Temperature,Regular,Winter,Finger Food,Suburban,High,35.0
Vegetables,310.0,Social Gathering,350.0,Refrigerated,Regular,Winter,Finger Food,Rural,High,35.0
Fruits,320.0,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Buffet,Rural,High,30.0
Dairy Products,350.0,Corporate,450.0,Room Temperature,Regular,Summer,Finger Food,Urban,High,30.0
Meat,400.0,Social Gathering,500.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,50.0
Fruits,320.0,Corporate,400.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,35.0
VEGETABLES,350.0, Wedding ,450.0,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,High,35.0
Meat,280.0,Social Gathering,350.0,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,20.0
Meat,350.0,Social Gathering,450.0,Refrigerated,Occasional,All Seasons,Finger Food,Rural,High,
BAKED GOODS,302.0,Social Gathering,,Room Temperature,Regular,Summer,Buffet,Suburban,Low,
Fruits,438.0,CORPORATE,493.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,
Baked Goods,310.0,Corporate,350.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,35.0
Dairy Products,320.0,Social Gathering,400.0,Room Temperature,Regular,Summer,Buffet,Rural,High,40.0
Fruits,300.0,Birthday,400.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15.0
Baked Goods,765.0,Birthday,350.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20.0
Dairy Products,400.0,Corporate,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,25.0
Vegetables,250.0,Corporate,350.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,20.0
 Fruits ,350.0,Corporate,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,45.0
Dairy Products,300.0,Corporate,400.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40.0
Fruits,350.0,Corporate,450.0,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Rural,Moderate,25.0
baked goods,380.0,Corporate,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
Dairy Products,250.0,Corporate,480.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,20.0
Dairy Products,300.0,Social Gathering,400.0,Room Temperature,Regular,Summer,Buffet,Suburban,High,30.0
Fruits,250.0,wedding,,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,Moderate,20.0
Fruits,400.0,Social Gathering,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40.0
baked goods,300.0,Corporate,400.0,ROOM TEMPERATURE,Regular,Summer,Finger Food,Suburban,Moderate,25.0
Meat,300.0,Social Gathering,400.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,40.0
Fruits,350.0,Social Gathering,450.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,45.0
Dairy Products,280.0,Corporate,350.0,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,20.0
Fruits,380.0,Social Gathering,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
Dairy Products,240.0,Birthday,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,20.0
baked goods,397.0,Wedding,482.0, Room Temperature ,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,31.0
Baked Goods,320.0,Birthday,400.0,room temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25.0
dairy products,320.0,Corporate,400.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,25.0
Vegetables,400.0,Social Gathering,500.0,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,30.0
Dairy Products,220.0,Corporate,300.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15.0
Dairy Products,350.0,Wedding,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25.0
Baked Goods,350.0,Corporate,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25.0
Baked Goods,300.0,Social Gathering,400.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15.0
Baked Goods,350.0,Social Gathering,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
Dairy Products,250.0,Social Gathering,350.0,Room Temperature,Regular,Summer,Buffet,Rural,Moderate,20.0
Baked Goods,,Birthday,350.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,20.0
Vegetables,400.0,Social Gathering,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,40.0
Vegetables,290.0,Social Gathering,374.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,27.0
Dairy Products,280.0,Social Gathering,350.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,25.0
Vegetables,350.0,Corporate,450.0,Refrigerated,Regular,Summer,Buffet,Urban,High,40.0
Fruits,267.0,Wedding,480.0,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,Low,
Fruits,290.0,Birthday,374.0,Refrigerated,Occasional,Winter,Finger Food,Rural,Low,27.0
Fruits,300.0,Wedding,450.0,Room Temperature,Regular,Summer,Finger Food,Urban,High,35.0
Meat,400.0,Wedding,500.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,50.0
Fruits,250.0,Birthday,350.0,Room Temperature,Regular,Summer,Finger Food,Rural,High,30.0
Vegetables,310.0,Birthday,350.0,Refrigerated,Regular,Summer,Finger Food,Rural,High,35.0
Meat,290.0,Social Gathering,374.0,Refrigerated,Regular,Summer,Finger Food,Rural,Low,27.0
Meat,250.0,Birthday,350.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,40.0
Baked Goods,220.0,Wedding,300.0,Room Temperature,Regular,Summer,Buffet,Suburban,Low,10.0
Meat,400.0,Birthday,500.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,45.0
Vegetables,250.0,Corporate,350.0,Refrigerated,Occasional,Summer,Buffet,Suburban,Low,10.0
Vegetables,350.0,Corporate,450.0,Refrigerated,Regular,Summer,Finger Food,Urban,High,30.0
Meat,300.0,Birthday,400.0,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,20.0
Meat,250.0,Birthday,350.0,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,20.0
Meat,261.0,Wedding,350.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,23.0
Meat,400.0,Wedding,500.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,30.0
 Vegetables ,350.0,Wedding,450.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,40.0
Fruits,320.0,Social Gathering,400.0,Room Temperature,Regular,Summer,Buffet,Rural,High,30.0
Fruits,300.0,Wedding,400.0,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,Moderate,15.0
Vegetables,,Birthday,350.0,Room Temperature,Regular,Summer,Finger Food,Rural,Low,15.0
Meat,220.0,Wedding,300.0,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,23.0
Vegetables,300.0,Corporate,400.0,Refrigerated,Regular,Winter,Finger Food,Rural,Moderate,15.0
Meat,250.0,Wedding,350.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,25.0
Baked Goods,280.0,Social Gathering,350.0,room temperature,Regular,Winter,Finger Food,Suburban,Moderate,20.0
Baked Goods,380.0,Social Gathering,400.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25.0
dairy products,320.0,CORPORATE,400.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35.0
Baked Goods,350.0,Birthday,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,30.0
Dairy Products,230.0,Corporate,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,30.0
Baked Goods,350.0,Social Gathering,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40.0
Dairy Products,380.0,Social Gathering,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,25.0
DAIRY PRODUCTS,342.0,Social Gathering,405.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,29.0
Fruits,400.0,Wedding,500.0,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,40.0
Vegetables,275.0,Wedding,388.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,16.0
Vegetables,220.0,Social Gathering,300.0,Refrigerated,Regular,Winter,Finger Food,Urban,Low,15.0
Baked Goods,280.0,Wedding,400.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,25.0
Vegetables,400.0,Corporate,500.0,Refrigerated,Occasional,Summer,Sit-down Dinner,Urban,High,40.0
Baked Goods,220.0,Wedding,300.0,ROOM TEMPERATURE,Regular,Winter,Finger Food,Rural,Moderate,15.0
Baked Goods,400.0,Wedding,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40.0
Dairy Products,400.0,Wedding,500.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Low,25.0
 Meat ,350.0,Social Gathering,450.0, Refrigerated ,Regular,Summer,Sit-down Dinner,Suburban,High,35.0
Dairy Products,300.0,Corporate,450.0,Room Temperature,Regular,Winter,Finger Food,Urban,High,35.0
Fruits,300.0,Corporate,450.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,
Dairy Products,472.0,Social Gathering,489.0,Room Temperature,Regular,Summer,Buffet,Urban,Low,36.0
fruits,397.0,wedding,482.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,31.0
Dairy Products,439.0,Birthday,459.0,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,39.0
Vegetables,220.0,Corporate,300.0,refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,15.0
Fruits,765.0,Birthday,300.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15.0
Fruits,220.0,Birthday,300.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15.0
Dairy Products,300.0,Corporate,420.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,20.0
Baked Goods,400.0,Corporate,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,50.0
Baked Goods,280.0,Corporate,350.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20.0
Baked Goods,350.0,Wedding,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,High,35.0
Baked Goods,350.0,Corporate,450.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40.0
Dairy Products,400.0,Wedding,350.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,35.0
Meat,350.0,Social Gathering,450.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,45.0
Fruits,250.0,Social Gathering,350.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20.0
Baked Goods,350.0,Corporate,450.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25.0
Dairy Products,,Social Gathering,374.0,Room Temperature,Regular,Winter,Finger Food,Rural,Low,27.0
Dairy Products,400.0,Wedding,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,High,35.0
Dairy Products,280.0,Corporate,350.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20.0
Dairy Products,400.0,Corporate,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,25.0
 Meat ,400.0,Wedding,500.0,Refrigerated,Occasional,Winter,Sit-down Dinner,Rural,High,45.0
Baked Goods,320.0,Birthday,400.0,Room Temperature,Regular,Winter,Buffet,Rural,High,30.0
Fruits,310.0,Corporate,,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,25.0
Vegetables,220.0,Wedding,300.0,Refrigerated,Occasional,Summer,Finger Food,Rural,Low,15.0
Vegetables,367.0,Social Gathering,420.0, Refrigerated ,Regular,Summer,Buffet,Urban,Low,40.0
Meat,350.0,Birthday,450.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,25.0
Dairy Products,765.0,Wedding,500.0,Room Temperature,Regular,Winter,Buffet,Urban,High,40.0
Dairy Products,472.0, Corporate ,489.0,ROOM TEMPERATURE,Regular,Winter,Buffet,Urban,Low,36.0
 Baked Goods ,250.0,Wedding,350.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,10.0
Fruits,220.0,Social Gathering,450.0,Refrigerated,Regular,Summer,Finger Food,Rural,Low,20.0
Vegetables,380.0,Corporate,480.0,Refrigerated,Regular,Summer,Buffet,Suburban,Moderate,30.0
Meat,765.0,Corporate,300.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15.0
Fruits,400.0,Wedding,500.0, Room Temperature ,Regular,Winter,Sit-down Dinner,Urban,High,40.0
Fruits,380.0,Birthday,400.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,25.0
Baked Goods,250.0,Birthday,350.0,Room Temperature,Regular,Winter,Buffet,Rural,Moderate,20.0
Meat,350.0,Birthday,450.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25.0
Fruits,491.0,Birthday,497.0,ROOM TEMPERATURE,Regular,All Seasons,Finger Food,Rural,High,32.0
Fruits,380.0,Birthday,480.0,Room Temperature,Occasional,Summer,Buffet,Suburban,Moderate,30.0
 Meat ,292.0,Social Gathering,470.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,50.0
Vegetables,400.0,Birthday,500.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Low,25.0
Baked Goods,300.0,Birthday,450.0,Room Temperature,Regular,Summer,Finger Food,Suburban,High,35.0
Baked Goods,220.0,Wedding,300.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15.0
Dairy Products,250.0,Corporate,350.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,10.0
Baked Goods,220.0,Corporate,300.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,15.0
Fruits,230.0,Corporate,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,20.0
Vegetables,320.0,birthday,400.0,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,25.0
Baked Goods,450.0,Corporate,500.0,Room Temperature,Occasional,Summer,Finger Food,Urban,High,30.0
Fruits,400.0,Corporate,500.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,40.0
Fruits,342.0,Corporate,405.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,29.0
Dairy Products,400.0,Wedding,350.0,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,35.0
Vegetables,220.0,Corporate,300.0,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,15.0
Vegetables,240.0,Birthday,450.0,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Moderate,30.0
DAIRY PRODUCTS,250.0,Wedding,350.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,35.0
Dairy Products,300.0,Birthday,400.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,30.0
Dairy Products,488.0,Corporate,498.0,Room Temperature,Regular,Summer,Finger Food,Suburban,High,63.0
Baked Goods,350.0,Birthday,450.0,Room Temperature,Occasional,All Seasons,Finger Food,Rural,High,30.0
Meat,230.0,Birthday,500.0,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,Moderate,30.0
Meat,220.0,Social Gathering,300.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15.0
Dairy Products,280.0,Wedding,350.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20.0
Fruits,400.0,Wedding,500.0,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,High,50.0
Dairy Products,400.0,Corporate,500.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,40.0
Baked Goods,380.0,Birthday,400.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,25.0
Fruits,250.0,Social Gathering,350.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,20.0
Dairy Products,,Corporate,400.0, Room Temperature ,Regular,Winter,Sit-down Dinner,Suburban,Low,20.0
Dairy Products,220.0,Corporate,300.0,ROOM TEMPERATURE,Regular,Summer,Finger Food,Suburban,Moderate,15.0
Baked Goods,350.0,Corporate,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25.0
Vegetables,320.0,Social Gathering,400.0,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,25.0
Baked Goods,320.0,Corporate,400.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25.0
Dairy Products,220.0,Corporate,300.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,15.0
Dairy Products,250.0,Birthday,350.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20.0
Dairy Products,280.0,Corporate,480.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,
Dairy Products,450.0,Social Gathering,500.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,30.0
Dairy Products,350.0,Wedding,,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,High,40.0
Vegetables,300.0,Social Gathering,400.0,Room Temperature,Occasional,Winter,Sit-down Dinner,Suburban,High,40.0
Dairy Products,300.0,Social Gathering,400.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,20.0
Baked Goods,220.0,Social Gathering,450.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,30.0
Dairy Products,,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20.0
Dairy Products,350.0,Social Gathering,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25.0
Dairy Products,247.0,Social Gathering,348.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,16.0
Dairy Products,400.0,Social Gathering,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40.0
Dairy Products,,Social Gathering,400.0, Room Temperature ,Regular,All Seasons,Finger Food,Suburban,Moderate,25.0
Dairy Products,400.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35.0
Meat,,Birthday,400.0,Refrigerated,Regular,Winter,Buffet,Rural,High,30.0
Meat,280.0, Wedding ,400.0,Refrigerated,Regular,Winter,Buffet,Urban,Moderate,
 Meat ,320.0,Corporate,400.0,Room Temperature,Regular,Summer,Buffet,Urban,High,45.0
Meat,310.0,Corporate,450.0,Refrigerated,Regular,All Seasons,Buffet,Urban,Low,25.0
Meat,350.0,Birthday,450.0,Refrigerated,Regular,Summer,Finger Food,Suburban,Low,
Meat,400.0,Wedding,350.0,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,High,35.0
Meat,350.0,Birthday,450.0,Refrigerated,Regular,Winter,Finger Food,Suburban,High,30.0
Meat,350.0,Birthday,450.0,Refrigerated,Regular,Winter,Finger Food,Suburban,High,30.0
Meat,400.0,Wedding,500.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,50.0
Fruits,320.0,wedding,,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35.0
Fruits,400.0,Wedding,500.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,40.0
Baked Goods,220.0,Social Gathering,300.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15.0
dairy products,434.0,Social Gathering,,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,36.0
Dairy Products,300.0,Social Gathering,400.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,40.0
Dairy Products,300.0,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25.0
Meat,320.0,Birthday,480.0,Refrigerated,Regular,Winter,Buffet,Rural,High,40.0
Meat,350.0,Corporate,450.0,Refrigerated,Occasional,Summer,Buffet,Urban,High,40.0
